method,city,thr,F1,P,R,acc
zero-shot B/32,SG,0.06,0.7424,0.6041666666666666,0.9626556016597511,0.6645833333333333
probe B/32,SG,0.4599999999999999,0.8522072936660269,0.7928571428571428,0.921161825726141,0.8395833333333333
zero-shot B/32,BO,0.07,0.8001174053419431,0.7147351861562664,0.9086666666666666,0.773
probe B/32,BO,0.4599999999999999,0.946847144272037,0.9378678875081753,0.956,0.9463333333333334
zero-shot L/14,SG,0.06,0.7040498442367602,0.5635910224438903,0.9377593360995851,0.6041666666666666
probe L/14,SG,0.4599999999999999,0.8365019011406843,0.7719298245614035,0.9128630705394191,0.8208333333333333
zero-shot L/14,BO,0.06,0.8119605425400739,0.7551605504587156,0.878,0.7966666666666666
probe L/14,BO,0.4799999999999999,0.9615639496355203,0.955862977602108,0.9673333333333334,0.9613333333333334
