DAY_TYPE,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY,WEEKENDS/HOLIDAY
clinic,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.030630479999999998,0.040396720000000004,0.04172848,0.04172848,0.04172848,0.03595752,0.02841088,0.02619128,0.02619128,0.02574736,0.0177568,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848,0.004172848
nursing_home,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00545985,0.017592849999999997,0.024266,0.026085949999999997,0.0279059,0.029119199999999998,0.029119199999999998,0.0303325,0.0315458,0.0315458,0.0315458,0.0230527,0.0169862,0.012133,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458,0.00315458
ihl,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0029999700000000002,0.00966657,0.013333200000000002,0.01433319,0.015333180000000002,0.01599984,0.01599984,0.0166665,0.01733316,0.01733316,0.01733316,0.01266654,0.009333240000000001,0.006666600000000001,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002,0.0017333160000000002
non_ihl,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.025064,0.025064,0.025064,0.025064,0.025064,0.025064,0.012532,0.012532,0.012532,0.012532,0.012532,0.012532,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064,0.0025064
industrial,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.043000000000000003,0.063,0.06899999999999999,0.074,0.07500000000000001,0.07900000000000001,0.082,0.082,0.082,0.082,0.07600000000000001,0.056999999999999995,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082
data_centre,0.0015260000000000002,0.0015260000000000002,0.001308,0.001308,0.000872,0.0007630000000000001,0.0009809999999999999,0.001635,0.0029430000000000003,0.005014,0.005014,0.005123,0.005777,0.006104000000000001,0.006104000000000001,0.006104000000000001,0.004796,0.00436,0.003706,0.003706,0.003379,0.0029430000000000003,0.0029430000000000003,0.0029430000000000003,0.0015260000000000002,0.001744,0.001744,0.002507,0.002507,0.002507,0.001308,0.0006104000000000001,0.001308,0.002398,0.002398,0.002398,0.00218,0.002616,0.002616,0.002616,0.00109,0.0007630000000000001,0.0007630000000000001,0.0007630000000000001,0.0006104000000000001,0.0006104000000000001,0.00109,0.00109
community_cultural,0.0006900000000000001,0.0006900000000000001,0.0006900000000000001,0.0006900000000000001,0.0006900000000000001,0.0006900000000000001,0.0006900000000000001,0.0011,0.004,0.006500000000000001,0.0068000000000000005,0.0069,0.0069,0.0069,0.0064,0.0061,0.0061,0.0059,0.0058,0.0047,0.0036,0.002,0.0009,0.0006900000000000001,0.0006900000000000001,0.0006900000000000001,0.0006900000000000001,0.0006900000000000001,0.0006900000000000001,0.0006900000000000001,0.0006900000000000001,0.0006900000000000001,0.0006900000000000001,0.0034999999999999996,0.0045000000000000005,0.005200000000000001,0.0055000000000000005,0.0058,0.0062,0.0062,0.0062,0.005699999999999999,0.005,0.0014000000000000002,0.0014000000000000002,0.0009,0.0009,0.0006900000000000001
sports,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.052000000000000005,0.06999999999999999,0.082,0.09000000000000001,0.09000000000000001,0.09200000000000001,0.09200000000000001,0.094,0.098,0.11399999999999999,0.13,0.132,0.132,0.132,0.11399999999999999,0.08000000000000002,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.05600000000000001,0.08000000000000002,0.11000000000000001,0.13799999999999998,0.13799999999999998,0.13799999999999998,0.13,0.122,0.132,0.144,0.146,0.146,0.146,0.132,0.10800000000000001,0.06999999999999999,0.0146
restaurant,0.08666671000000001,0.08666671000000001,0.060000029999999996,0.036666685000000004,0.036666685000000004,0.036666685000000004,0.036666685000000004,0.08000004,0.10000005,0.14000007,0.15333341,0.22666678,0.24000011999999998,0.24000011999999998,0.24000011999999998,0.22666678,0.22666678,0.26666680000000004,0.30666682,0.32000016,0.36666685000000004,0.36666685000000004,0.36666685000000004,0.36000018,0.19333343,0.19333343,0.14000007,0.08000004,0.04000002,0.036666685000000004,0.060000029999999996,0.13333340000000002,0.18666676000000001,0.18666676000000001,0.18666676000000001,0.27333346999999997,0.28000014,0.28666681,0.29333348,0.29333348,0.29333348,0.32666683,0.36666685000000004,0.36666685000000004,0.36666685000000004,0.34000017,0.32666683,0.26000013
hawker_centre,0.043333355000000004,0.043333355000000004,0.043333355000000004,0.043333355000000004,0.043333355000000004,0.043333355000000004,0.14000007,0.16666675,0.21333344,0.31333349,0.37333352000000003,0.42000021,0.42000021,0.42000021,0.34666684000000003,0.28666681,0.30000015,0.39333353,0.43333355,0.43333355,0.43333355,0.37333352000000003,0.24000011999999998,0.12666673,0.043333355000000004,0.043333355000000004,0.043333355000000004,0.043333355000000004,0.043333355000000004,0.043333355000000004,0.043333355000000004,0.11333339,0.13333340000000002,0.16666675,0.2000001,0.22666678,0.22666678,0.22666678,0.18666676000000001,0.17333342000000002,0.24666679,0.24666679,0.37333352000000003,0.37333352000000003,0.37333352000000003,0.27333346999999997,0.16000008,0.05333336
supermarket,0.032,0.032,0.020000000000000004,0.017400000000000002,0.020000000000000004,0.04000000000000001,0.064,0.08000000000000002,0.10200000000000001,0.11000000000000001,0.12,0.122,0.122,0.122,0.118,0.11399999999999999,0.124,0.132,0.132,0.132,0.13,0.118,0.096,0.07600000000000001,0.048,0.048,0.03,0.018,0.017400000000000002,0.018,0.036,0.084,0.122,0.148,0.148,0.164,0.17400000000000002,0.17400000000000002,0.17400000000000002,0.166,0.15200000000000002,0.146,0.148,0.148,0.148,0.132,0.10800000000000001,0.08800000000000001
mixed_development,0.00884816075,0.00884816075,0.00884816075,0.00884816075,0.00884816075,0.00884816075,0.00884816075,0.00884816075,0.038362655,0.06249400250000001,0.075487805,0.08353158750000002,0.0884816075,0.0884816075,0.0884816075,0.0884816075,0.08353158750000002,0.08229408250000002,0.0723940425,0.038362655,0.035887645,0.030937625000000003,0.023512595000000004,0.00884816075,0.00884816075,0.00884816075,0.00884816075,0.00884816075,0.00884816075,0.00884816075,0.00884816075,0.00884816075,0.00884816075,0.0228938425,0.03465014000000001,0.0451689325,0.05197521,0.05197521,0.05197521,0.0513564575,0.05383146750000001,0.05383146750000001,0.05383146750000001,0.05011895250000001,0.043312675,0.03465014000000001,0.02227509,0.00884816075
shophouse,0.052394,0.052394,0.046699,0.042143,0.038726000000000003,0.037587,0.037587,0.037587,0.036448,0.033031,0.030183500000000002,0.030183500000000002,0.03417,0.03417,0.03417,0.0324615,0.033031,0.035309,0.07289599999999999,0.074035,0.0757435,0.0757435,0.0757435,0.05695,0.052394,0.052394,0.046699,0.042143,0.038726000000000003,0.037587,0.037587,0.037587,0.036448,0.033031,0.031892000000000004,0.0415735,0.047838,0.047838,0.047838,0.0472685,0.0495465,0.0495465,0.07973,0.07973,0.07973,0.07745200000000001,0.0746045,0.05695
